Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,2019-08-09,Liverpool,Norwich,4,1
E0,2019-08-10,West Ham,Man City,0,5
E0,2019-08-10,Bournemouth,Sheffield United,1,1
E0,2019-08-10,Burnley,Southampton,3,0
E0,2019-08-10,Crystal Palace,Everton,0,0
E0,2019-08-10,Watford,Brighton,0,3
E0,2019-08-10,Tottenham,Aston Villa,3,1
E0,2019-08-11,Leicester,Wolves,0,0
E0,2019-08-11,Newcastle,Arsenal,0,1
E0,2019-08-11,Man United,Chelsea,4,0
E0,2019-08-17,Arsenal,Burnley,2,1
E0,2019-08-17,Aston Villa,Bournemouth,1,2
E0,2019-08-17,Brighton,West Ham,1,1
E0,2019-08-17,Everton,Watford,1,0
E0,2019-08-17,Norwich,Newcastle,3,1
E0,2019-08-17,Southampton,Liverpool,1,2
E0,2019-08-17,Man City,Tottenham,2,2
E0,2019-08-18,Sheffield United,Crystal Palace,1,0
E0,2019-08-18,Chelsea,Leicester,1,1
E0,2019-08-19,Wolves,Man United,1,1
E0,2019-08-23,Aston Villa,Everton,2,0
E0,2019-08-24,Norwich,Chelsea,2,3
E0,2019-08-24,Brighton,Southampton,0,2
E0,2019-08-24,Man United,Crystal Palace,1,2
E0,2019-08-24,Sheffield United,Leicester,1,2
E0,2019-08-24,Watford,West Ham,1,3
E0,2019-08-24,Liverpool,Arsenal,3,1
E0,2019-08-25,Bournemouth,Man City,1,3
E0,2019-08-25,Tottenham,Newcastle,0,1
E0,2019-08-25,Wolves,Burnley,1,1
E0,2019-08-31,Southampton,Man United,1,1
E0,2019-08-31,Chelsea,Sheffield United,2,2
E0,2019-08-31,Crystal Palace,Aston Villa,1,0
E0,2019-08-31,Leicester,Bournemouth,3,1
E0,2019-08-31,Man City,Brighton,4,0
E0,2019-08-31,Newcastle,Watford,1,1
E0,2019-08-31,West Ham,Norwich,2,0
E0,2019-08-31,Burnley,Liverpool,0,3
E0,2019-09-01,Everton,Wolves,3,2
E0,2019-09-01,Arsenal,Tottenham,2,2
E0,2019-09-14,Liverpool,Newcastle,3,1
E0,2019-09-14,Brighton,Burnley,1,1
E0,2019-09-14,Man United,Leicester,1,0
E0,2019-09-14,Sheffield United,Southampton,0,1
